;undefined;undefined;undefined
155;140;false;#000000
154;140;true;#000000
146;144;true;#000000
135;152;true;#000000
127;157;true;#000000
123;159;true;#000000
122;161;true;#000000
121;164;true;#000000
121;170;true;#000000
121;176;true;#000000
123;184;true;#000000
133;192;true;#000000
142;197;true;#000000
152;199;true;#000000
159;202;true;#000000
166;202;true;#000000
170;202;true;#000000
171;202;true;#000000
174;201;true;#000000
179;198;true;#000000
185;193;true;#000000
188;191;true;#000000
192;189;true;#000000
194;186;true;#000000
197;182;true;#000000
200;178;true;#000000
201;175;true;#000000
202;172;true;#000000
