;undefined;undefined;undefined
169;133;false;#000000
163;135;true;#000000
151;141;true;#000000
147;143;true;#000000
119;163;true;#000000
113;167;true;#000000
110;169;true;#000000
109;169;true;#000000
109;170;true;#000000
109;171;true;#000000
109;172;true;#000000
142;187;false;#000000
143;186;true;#000000
62;40;false;#000000
62;41;true;#000000
62;42;true;#000000
62;45;true;#000000
62;51;true;#000000
62;55;true;#000000
62;61;true;#000000
62;68;true;#000000
62;78;true;#000000
62;87;true;#000000
62;95;true;#000000
62;103;true;#000000
62;112;true;#000000
62;122;true;#000000
62;130;true;#000000
62;137;true;#000000
62;142;true;#000000
62;143;true;#000000
62;144;true;#000000
62;145;true;#000000
62;146;true;#000000
62;147;true;#000000
62;148;true;#000000
62;149;true;#000000
157;81;false;#000000
163;77;true;#000000
166;75;true;#000000
168;74;true;#000000
171;73;true;#000000
172;73;true;#000000
173;73;true;#000000
174;73;true;#000000
175;73;true;#000000
176;73;true;#000000
177;73;true;#000000
178;73;true;#000000
179;76;true;#000000
180;79;true;#000000
181;82;true;#000000
181;85;true;#000000
181;89;true;#000000
181;94;true;#000000
181;99;true;#000000
179;105;true;#000000
176;108;true;#000000
174;111;true;#000000
173;112;true;#000000
171;112;true;#000000
170;113;true;#000000
170;114;true;#000000
170;115;true;#000000
170;116;true;#000000
170;117;true;#000000
173;118;true;#000000
182;121;true;#000000
188;122;true;#000000
193;124;true;#000000
199;126;true;#000000
203;127;true;#000000
209;130;true;#000000
211;131;true;#000000
214;131;true;#000000
214;132;true;#000000
214;133;true;#000000
214;134;true;#000000
213;135;true;#000000
208;138;true;#000000
204;142;true;#000000
199;146;true;#000000
196;152;true;#000000
193;158;true;#000000
193;160;true;#000000
193;164;true;#000000
193;168;true;#000000
193;169;true;#000000
193;170;true;#000000
193;171;true;#000000
194;171;true;#000000
194;172;true;#000000
108;216;false;#000000
111;216;true;#000000
115;216;true;#000000
119;216;true;#000000
124;218;true;#000000
127;218;true;#000000
130;218;true;#000000
131;218;true;#000000
128;218;true;#000000
125;218;true;#000000
121;218;true;#000000
118;218;true;#000000
116;219;true;#000000
112;220;true;#000000
109;221;true;#000000
106;224;true;#000000
105;226;true;#000000
105;228;true;#000000
105;232;true;#000000
105;235;true;#000000
105;238;true;#000000
105;241;true;#000000
104;243;true;#000000
103;244;true;#000000
101;246;true;#000000
100;246;true;#000000
98;246;true;#000000
95;246;true;#000000
94;246;true;#000000
92;246;true;#000000
91;243;true;#000000
89;240;true;#000000
88;240;true;#000000
88;239;true;#000000
87;242;true;#000000
85;244;true;#000000
83;244;true;#000000
81;244;true;#000000
79;244;true;#000000
76;244;true;#000000
74;240;true;#000000
72;236;true;#000000
71;233;true;#000000
70;231;true;#000000
68;230;true;#000000
169;251;false;#000000
176;256;true;#000000
188;256;true;#000000
194;256;true;#000000
195;256;true;#000000
202;244;true;#000000
210;236;false;#000000
215;245;true;#000000
219;249;true;#000000
225;254;true;#000000
233;258;true;#000000
242;260;true;#000000
249;261;true;#000000
251;261;true;#000000
252;260;true;#000000
253;260;true;#000000
82;281;false;#000000
81;281;true;#000000
80;281;true;#000000
78;281;true;#000000
76;281;true;#000000
75;281;true;#000000
73;281;true;#000000
70;281;true;#000000
68;282;true;#000000
65;282;true;#000000
61;282;true;#000000
59;282;true;#000000
57;282;true;#000000
56;281;true;#000000
55;280;true;#000000
54;277;true;#000000
54;276;true;#000000
54;275;true;#000000
54;276;true;#000000
54;277;true;#000000
52;274;true;#000000
51;270;true;#000000
48;262;true;#000000
46;258;true;#000000
45;257;true;#000000
44;257;true;#000000
43;257;true;#000000
41;259;true;#000000
41;262;true;#000000
41;265;true;#000000
20;155;false;#000000
21;155;true;#000000
21;156;true;#000000
23;164;true;#000000
26;170;true;#000000
31;178;true;#000000
35;183;true;#000000
35;184;true;#000000
36;184;true;#000000
37;184;true;#000000
39;184;true;#000000
41;184;true;#000000
42;184;true;#000000
42;185;true;#000000
42;186;true;#000000
40;189;true;#000000
36;193;true;#000000
35;195;true;#000000
34;197;true;#000000
34;198;true;#000000
34;200;true;#000000
34;202;true;#000000
34;204;true;#000000
34;205;true;#000000
34;207;true;#000000
35;208;true;#000000
35;209;true;#000000
35;210;true;#000000
