;undefined;undefined;undefined
33;92;false;#000000
32;92;true;#000000
29;99;true;#000000
26;109;true;#000000
22;119;true;#000000
20;130;true;#000000
20;140;true;#000000
20;152;true;#000000
20;160;true;#000000
20;164;true;#000000
23;90;false;#000000
24;90;true;#000000
25;90;true;#000000
28;90;true;#000000
34;90;true;#000000
39;90;true;#000000
44;90;true;#000000
48;90;true;#000000
51;90;true;#000000
53;90;true;#000000
55;90;true;#000000
56;91;true;#000000
57;91;true;#000000
58;92;true;#000000
59;93;true;#000000
60;94;true;#000000
60;96;true;#000000
60;97;true;#000000
60;100;true;#000000
60;103;true;#000000
59;107;true;#000000
56;110;true;#000000
50;113;true;#000000
43;119;true;#000000
35;124;true;#000000
28;128;true;#000000
20;131;true;#000000
16;134;true;#000000
12;136;true;#000000
10;137;true;#000000
9;137;true;#000000
84;77;false;#000000
84;78;true;#000000
81;87;true;#000000
76;104;true;#000000
74;112;true;#000000
71;117;true;#000000
70;126;true;#000000
70;133;true;#000000
70;139;true;#000000
70;145;true;#000000
72;148;true;#000000
74;149;true;#000000
75;149;true;#000000
77;149;true;#000000
81;148;true;#000000
87;145;true;#000000
93;140;true;#000000
97;137;true;#000000
101;135;true;#000000
104;134;true;#000000
107;132;true;#000000
109;129;true;#000000
112;126;true;#000000
113;123;true;#000000
114;121;true;#000000
115;113;true;#000000
115;108;true;#000000
115;101;true;#000000
112;94;true;#000000
107;86;true;#000000
103;80;true;#000000
99;76;true;#000000
97;74;true;#000000
93;73;true;#000000
90;73;true;#000000
86;73;true;#000000
81;76;true;#000000
75;80;true;#000000
72;82;true;#000000
70;83;true;#000000
69;84;true;#000000
68;85;true;#000000
67;86;true;#000000
69;86;true;#000000
154;73;false;#000000
154;79;true;#000000
154;89;true;#000000
154;101;true;#000000
154;133;true;#000000
154;147;true;#000000
154;157;true;#000000
154;166;true;#000000
154;169;true;#000000
155;169;true;#000000
157;84;false;#000000
158;84;true;#000000
161;86;true;#000000
163;90;true;#000000
165;94;true;#000000
172;103;true;#000000
178;112;true;#000000
185;122;true;#000000
193;128;true;#000000
197;132;true;#000000
202;137;true;#000000
202;139;true;#000000
203;140;true;#000000
205;142;true;#000000
205;143;true;#000000
205;142;true;#000000
206;139;true;#000000
207;134;true;#000000
207;127;true;#000000
208;121;true;#000000
209;116;true;#000000
209;112;true;#000000
209;107;true;#000000
209;104;true;#000000
209;100;true;#000000
209;97;true;#000000
210;94;true;#000000
210;93;true;#000000
211;90;true;#000000
212;89;true;#000000
212;88;true;#000000
212;96;true;#000000
212;109;true;#000000
212;124;true;#000000
215;139;true;#000000
215;154;true;#000000
215;168;true;#000000
215;173;true;#000000
215;174;true;#000000
215;175;true;#000000
243;75;false;#000000
243;80;true;#000000
243;89;true;#000000
243;99;true;#000000
243;111;true;#000000
241;124;true;#000000
237;146;true;#000000
232;166;true;#000000
231;181;true;#000000
231;191;true;#000000
231;196;true;#000000
231;197;true;#000000
231;196;true;#000000
231;192;true;#000000
247;81;false;#000000
248;83;true;#000000
250;90;true;#000000
252;94;true;#000000
253;99;true;#000000
255;106;true;#000000
258;115;true;#000000
259;125;true;#000000
262;141;true;#000000
265;157;true;#000000
265;171;true;#000000
267;182;true;#000000
267;188;true;#000000
268;189;true;#000000
269;189;true;#000000
263;151;false;#000000
262;151;true;#000000
260;151;true;#000000
256;151;true;#000000
251;151;true;#000000
248;151;true;#000000
245;151;true;#000000
242;151;true;#000000
240;151;true;#000000
237;151;true;#000000
235;151;true;#000000
234;151;true;#000000
232;151;true;#000000
231;151;true;#000000
231;150;true;#000000
;undefined;undefined;undefined
292;297;false;#000000
291;303;true;#000000
290;308;true;#000000
290;327;true;#000000
290;338;true;#000000
297;345;true;#000000
304;347;true;#000000
318;352;true;#000000
330;353;true;#000000
332;353;true;#000000
334;353;true;#000000
337;348;true;#000000
338;342;true;#000000
341;325;true;#000000
341;313;true;#000000
341;307;true;#000000
341;304;true;#000000
341;300;true;#000000
341;296;true;#000000
336;290;true;#000000
329;285;true;#000000
304;275;true;#000000
299;274;true;#000000
292;273;true;#000000
288;274;true;#000000
284;278;true;#000000
275;283;true;#000000
273;284;true;#000000
273;285;true;#000000
390;356;false;#000000
389;363;true;#000000
416;263;false;#000000
404;285;true;#000000
398;298;true;#000000
396;309;true;#000000
393;316;true;#000000
391;322;true;#000000
391;335;true;#000000
391;347;true;#000000
391;352;true;#000000
390;361;true;#000000
390;373;true;#000000
390;375;true;#000000
412;272;false;#000000
412;272;false;#000000
415;278;true;#000000
424;305;true;#000000
429;319;true;#000000
440;353;true;#000000
442;362;true;#000000
446;371;true;#000000
446;373;true;#000000
489;252;false;#000000
490;255;true;#000000
491;258;true;#000000
493;261;true;#000000
496;274;true;#000000
502;293;true;#000000
503;304;true;#000000
503;314;true;#000000
503;322;true;#000000
503;339;true;#000000
503;349;true;#000000
503;356;true;#000000
503;359;true;#000000
503;361;true;#000000
503;364;true;#000000
503;364;false;#000000
479;267;false;#000000
477;267;true;#000000
476;268;true;#000000
476;269;true;#000000
476;270;true;#000000
475;273;true;#000000
475;276;true;#000000
475;282;true;#000000
475;284;true;#000000
475;287;true;#000000
475;289;true;#000000
476;289;true;#000000
478;289;true;#000000
481;290;true;#000000
482;290;true;#000000
483;290;true;#000000
485;291;true;#000000
491;291;true;#000000
494;291;true;#000000
496;291;true;#000000
497;292;true;#000000
499;292;true;#000000
500;292;true;#000000
500;293;true;#000000
500;294;true;#000000
498;298;true;#000000
494;307;true;#000000
489;315;true;#000000
487;321;true;#000000
484;326;true;#000000
483;332;true;#000000
481;337;true;#000000
481;340;true;#000000
481;341;true;#000000
480;343;true;#000000
480;344;true;#000000
479;345;true;#000000
478;345;true;#000000
478;346;true;#000000
478;348;true;#000000
478;350;true;#000000
477;352;true;#000000
476;353;true;#000000
476;354;true;#000000
476;355;true;#000000
475;356;true;#000000
475;357;true;#000000
474;357;true;#000000
474;352;true;#000000
476;272;false;#000000
477;272;true;#000000
477;271;true;#000000
479;269;false;#000000
480;269;true;#000000
481;269;true;#000000
481;268;true;#000000
482;268;true;#000000
483;268;true;#000000
483;267;true;#000000
487;267;false;#000000
488;265;true;#000000
489;265;true;#000000
490;264;true;#000000
491;264;true;#000000
493;264;false;#000000
493;265;false;#000000
493;266;true;#000000
489;266;true;#000000
487;267;true;#000000
484;268;true;#000000
482;269;true;#000000
481;269;true;#000000
479;269;true;#000000
479;270;true;#000000
478;270;true;#000000
26;340;false;#000000
26;339;true;#000000
32;337;true;#000000
46;336;true;#000000
61;336;true;#000000
78;336;true;#000000
85;336;true;#000000
90;336;true;#000000
95;336;true;#000000
99;336;true;#000000
101;336;true;#000000
104;336;true;#000000
111;337;true;#000000
113;338;true;#000000
116;338;true;#000000
118;338;true;#000000
122;340;true;#000000
124;341;true;#000000
136;346;true;#000000
142;347;true;#000000
146;350;true;#000000
150;351;true;#000000
153;352;true;#000000
156;353;true;#000000
157;353;true;#000000
164;356;true;#000000
171;358;true;#000000
174;359;true;#000000
179;363;true;#000000
182;365;true;#000000
189;371;true;#000000
196;383;true;#000000
201;390;true;#000000
206;396;true;#000000
214;410;true;#000000
219;414;true;#000000
223;419;true;#000000
228;423;true;#000000
233;429;true;#000000
236;435;true;#000000
246;452;true;#000000
253;459;true;#000000
257;468;true;#000000
41;377;false;#000000
42;377;true;#000000
45;377;true;#000000
54;374;true;#000000
60;373;true;#000000
65;373;true;#000000
69;373;true;#000000
75;371;true;#000000
77;370;true;#000000
79;369;true;#000000
81;373;true;#000000
84;380;true;#000000
86;384;true;#000000
88;393;true;#000000
89;394;true;#000000
90;394;true;#000000
98;388;true;#000000
101;383;true;#000000
103;382;true;#000000
106;381;true;#000000
107;381;true;#000000
45;421;false;#000000
55;421;true;#000000
108;426;true;#000000
110;424;true;#000000
140;405;false;#000000
142;406;true;#000000
148;410;true;#000000
153;413;true;#000000
159;418;true;#000000
161;420;true;#000000
141;434;false;#000000
141;436;true;#000000
144;437;true;#000000
145;437;true;#000000
150;437;true;#000000
160;437;true;#000000
167;436;true;#000000
174;435;true;#000000
181;431;true;#000000
181;430;true;#000000
224;5;false;#000000
223;8;true;#000000
219;11;true;#000000
214;13;true;#000000
138;39;true;#000000
132;43;true;#000000
129;44;true;#000000
125;47;true;#000000
121;49;true;#000000
118;50;true;#000000
112;54;true;#000000
109;57;true;#000000
101;59;true;#000000
97;61;true;#000000
93;61;true;#000000
88;61;true;#000000
70;61;true;#000000
46;61;true;#000000
35;61;true;#000000
25;61;true;#000000
19;61;true;#000000
15;61;true;#000000
13;61;true;#000000
5;62;true;#000000
0;64;true;#000000
-1;64;true;#000000
527;12;false;#000000
529;12;true;#000000
532;16;false;#000000
539;35;true;#000000
542;49;true;#000000
542;67;true;#000000
549;105;true;#000000
563;139;true;#000000
576;160;true;#000000
580;168;true;#000000
586;179;true;#000000
587;187;true;#000000
590;191;true;#000000
594;200;true;#000000
597;204;true;#000000
598;205;true;#000000
599;206;true;#000000
600;207;true;#000000
602;208;true;#000000
603;210;true;#000000
605;211;true;#000000
609;213;true;#000000
618;220;true;#000000
619;222;true;#000000
627;230;true;#000000
632;232;true;#000000
638;234;true;#000000
643;235;true;#000000
648;235;true;#000000
652;235;true;#000000
665;235;true;#000000
673;235;true;#000000
686;235;true;#000000
701;235;true;#000000
720;235;true;#000000
736;238;true;#000000
760;241;true;#000000
772;241;true;#000000
722;239;false;#000000
720;247;true;#000000
711;262;true;#000000
708;266;true;#000000
703;274;true;#000000
700;276;true;#000000
696;278;true;#000000
694;280;true;#000000
692;281;true;#000000
688;282;true;#000000
687;283;true;#000000
683;285;true;#000000
681;286;true;#000000
675;289;true;#000000
668;294;true;#000000
664;297;true;#000000
660;300;true;#000000
656;306;true;#000000
654;309;true;#000000
