;undefined;undefined;undefined
78;97;false;#000000
78;98;true;#000000
78;105;true;#000000
78;113;true;#000000
78;120;true;#000000
78;123;true;#000000
78;131;true;#000000
79;135;true;#000000
81;142;true;#000000
82;148;true;#000000
85;157;true;#000000
127;185;false;#000000
143;109;false;#000000
138;113;true;#000000
127;132;true;#000000
121;149;true;#000000
120;164;true;#000000
120;177;true;#000000
192;235;false;#000000
204;235;true;#000000
210;232;true;#000000
216;228;true;#000000
221;222;true;#000000
225;207;false;#000000
222;207;true;#000000
218;210;true;#000000
215;212;true;#000000
212;218;true;#000000
211;222;true;#000000
210;224;true;#000000
210;226;true;#000000
217;231;true;#000000
231;233;true;#000000
249;235;true;#000000
272;235;true;#000000
302;235;true;#000000
330;235;true;#000000
357;235;true;#000000
396;225;true;#000000
404;221;true;#000000
408;219;true;#000000
410;215;true;#000000
411;203;true;#000000
411;196;true;#000000
410;190;true;#000000
404;185;true;#000000
395;180;true;#000000
383;176;true;#000000
367;171;true;#000000
349;168;true;#000000
325;168;true;#000000
301;168;true;#000000
237;178;true;#000000
220;191;true;#000000
210;202;true;#000000
208;215;true;#000000
206;227;true;#000000
206;239;true;#000000
208;254;true;#000000
210;263;true;#000000
213;273;true;#000000
214;282;true;#000000
214;289;true;#000000
214;294;true;#000000
214;296;true;#000000
211;297;true;#000000
209;297;true;#000000
205;297;true;#000000
200;294;true;#000000
193;289;true;#000000
175;283;true;#000000
165;283;true;#000000
143;283;true;#000000
131;283;true;#000000
126;283;true;#000000
124;283;true;#000000
124;285;true;#000000
122;286;true;#000000
122;289;true;#000000
122;292;true;#000000
122;294;true;#000000
122;296;true;#000000
122;297;true;#000000
122;299;true;#000000
125;300;true;#000000
128;301;true;#000000
131;301;true;#000000
135;303;true;#000000
140;304;true;#000000
149;306;true;#000000
;undefined;undefined;undefined
19;17;false;#000000
21;17;true;#000000
22;18;true;#000000
23;18;true;#000000
24;18;true;#000000
24;19;true;#000000
27;20;true;#000000
29;20;true;#000000
29;21;true;#000000
16;10;false;#000000
16;11;true;#000000
16;12;true;#000000
16;17;true;#000000
17;21;true;#000000
21;27;true;#000000
31;44;true;#000000
45;58;true;#000000
49;60;true;#000000
52;62;true;#000000
54;64;true;#000000
54;65;true;#000000
55;77;false;#000000
53;77;true;#000000
52;75;true;#000000
49;70;true;#000000
44;62;true;#000000
38;54;true;#000000
36;52;true;#000000
34;51;true;#000000
33;51;true;#000000
32;52;true;#000000
30;61;true;#000000
28;76;true;#000000
28;91;true;#000000
28;104;true;#000000
28;112;true;#000000
28;116;true;#000000
29;118;true;#000000
30;118;true;#000000
34;118;true;#000000
44;118;true;#000000
59;112;true;#000000
72;105;true;#000000
83;99;true;#000000
92;94;true;#000000
96;90;true;#000000
98;88;true;#000000
97;88;true;#000000
96;88;true;#000000
82;91;true;#000000
65;106;true;#000000
57;117;true;#000000
47;137;true;#000000
48;144;true;#000000
54;146;true;#000000
57;146;true;#000000
81;135;true;#000000
25;18;false;#000000
24;18;true;#000000
22;17;true;#000000
22;16;true;#000000
21;16;true;#000000
20;16;true;#000000
19;16;true;#000000
17;15;true;#000000
15;14;true;#000000
10;13;true;#000000
7;12;true;#000000
5;11;true;#000000
4;9;true;#000000
3;8;true;#000000
3;9;true;#000000
3;14;true;#000000
3;21;true;#000000
9;13;false;#000000
11;17;true;#000000
13;24;true;#000000
19;35;true;#000000
22;40;true;#000000
24;43;true;#000000
28;46;true;#000000
31;47;true;#000000
33;49;true;#000000
35;53;true;#000000
36;54;true;#000000
36;56;true;#000000
36;57;true;#000000
37;57;true;#000000
8;34;false;#000000
8;35;true;#000000
8;38;true;#000000
8;43;true;#000000
8;48;true;#000000
8;57;true;#000000
8;67;true;#000000
8;73;true;#000000
8;79;true;#000000
8;82;true;#000000
8;83;true;#000000
