;undefined;undefined;undefined
38;9;false;#000000
37;9;true;#000000
37;10;true;#000000
36;11;true;#000000
36;13;true;#000000
36;16;true;#000000
36;20;true;#000000
36;25;true;#000000
36;32;true;#000000
36;35;true;#000000
36;37;true;#000000
36;39;true;#000000
36;41;true;#000000
36;43;true;#000000
36;45;true;#000000
36;47;true;#000000
36;51;true;#000000
36;53;true;#000000
36;54;true;#000000
37;54;true;#000000
;undefined;undefined;undefined
11;10;false;#000000
11;11;true;#000000
11;15;true;#000000
11;20;true;#000000
12;23;true;#000000
13;26;true;#000000
14;28;true;#000000
15;31;true;#000000
16;34;true;#000000
18;36;true;#000000
19;37;true;#000000
20;39;true;#000000
20;40;true;#000000
21;41;true;#000000
21;42;true;#000000
22;44;true;#000000
22;45;true;#000000
23;47;true;#000000
24;48;true;#000000
25;50;true;#000000
26;53;true;#000000
28;56;true;#000000
29;58;true;#000000
29;60;true;#000000
30;62;true;#000000
31;63;true;#000000
32;65;true;#000000
33;67;true;#000000
34;69;true;#000000
35;71;true;#000000
36;73;true;#000000
38;75;true;#000000
40;78;true;#000000
42;81;true;#000000
43;82;true;#000000
44;84;true;#000000
45;85;true;#000000
47;87;true;#000000
49;87;true;#000000
52;88;true;#000000
53;89;true;#000000
55;89;true;#000000
56;90;true;#000000
8;9;false;#000000
10;12;true;#000000
16;18;true;#000000
18;21;true;#000000
21;26;true;#000000
22;27;true;#000000
24;29;true;#000000
25;32;true;#000000
27;34;true;#000000
28;34;true;#000000
29;35;true;#000000
31;36;true;#000000
;undefined;undefined;undefined
10;15;false;#000000
10;14;true;#000000
13;14;true;#000000
16;13;true;#000000
17;13;true;#000000
17;12;true;#000000
18;12;true;#000000
20;11;true;#000000
21;11;true;#000000
22;11;true;#000000
23;11;true;#000000
25;11;true;#000000
26;11;true;#000000
27;11;true;#000000
29;12;true;#000000
30;12;true;#000000
31;13;true;#000000
32;13;true;#000000
33;13;true;#000000
34;13;true;#000000
34;14;true;#000000
35;15;true;#000000
37;16;true;#000000
39;17;true;#000000
39;18;true;#000000
40;21;true;#000000
42;23;true;#000000
44;25;true;#000000
45;26;true;#000000
45;27;true;#000000
46;29;true;#000000
47;31;true;#000000
48;32;true;#000000
50;36;true;#000000
50;37;true;#000000
51;39;true;#000000
52;42;true;#000000
54;45;true;#000000
56;45;true;#000000
56;49;true;#000000
56;52;true;#000000
56;54;true;#000000
56;55;true;#000000
;undefined;undefined;undefined
213;115;false;#000000
;undefined;undefined;undefined
30;26;false;#000000
30;27;true;#000000
30;30;true;#000000
30;36;true;#000000
30;43;true;#000000
30;48;true;#000000
30;52;true;#000000
30;56;true;#000000
30;59;true;#000000
30;61;true;#000000
30;64;true;#000000
30;68;true;#000000
31;70;true;#000000
32;73;true;#000000
33;76;true;#000000
34;79;true;#000000
36;80;true;#000000
39;83;true;#000000
42;85;true;#000000
45;87;true;#000000
48;89;true;#000000
50;91;true;#000000
56;94;true;#000000
62;98;true;#000000
67;100;true;#000000
74;102;true;#000000
79;104;true;#000000
82;105;true;#000000
86;106;true;#000000
91;106;true;#000000
95;106;true;#000000
98;106;true;#000000
99;106;true;#000000
100;106;true;#000000
99;106;true;#000000
98;106;true;#000000
98;109;true;#000000
224;120;false;#000000
221;120;true;#000000
219;120;true;#000000
216;120;true;#000000
215;120;true;#000000
214;120;true;#000000
226;128;false;#000000
225;128;true;#000000
223;127;true;#000000
220;125;true;#000000
217;123;true;#000000
213;122;true;#000000
208;120;true;#000000
205;118;true;#000000
202;116;true;#000000
200;115;true;#000000
200;114;true;#000000
200;113;true;#000000
201;112;true;#000000
205;117;false;#000000
202;115;true;#000000
201;114;true;#000000
200;113;true;#000000
199;113;true;#000000
198;113;true;#000000
198;114;true;#000000
198;116;true;#000000
199;121;true;#000000
203;126;true;#000000
209;129;true;#000000
215;130;true;#000000
219;132;true;#000000
221;132;true;#000000
223;132;true;#000000
224;132;true;#000000
225;132;true;#000000
225;130;true;#000000
225;129;true;#000000
225;127;true;#000000
225;125;true;#000000
225;124;true;#000000
225;123;true;#000000
225;122;true;#000000
224;122;true;#000000
221;121;true;#000000
220;121;true;#000000
219;121;true;#000000
218;121;true;#000000
216;121;true;#000000
215;121;true;#000000
215;123;true;#000000
215;124;true;#000000
215;126;true;#000000
217;127;true;#000000
219;127;true;#000000
221;127;true;#000000
214;122;false;#000000
214;120;true;#000000
215;119;true;#000000
217;117;true;#000000
219;114;true;#000000
219;113;true;#000000
219;112;true;#000000
219;111;true;#000000
219;110;true;#000000
219;109;true;#000000
219;108;true;#000000
218;108;true;#000000
217;108;true;#000000
214;108;true;#000000
212;108;true;#000000
210;108;true;#000000
208;108;true;#000000
207;109;true;#000000
206;111;true;#000000
205;113;true;#000000
204;116;true;#000000
204;119;true;#000000
204;120;true;#000000
205;120;true;#000000
206;120;true;#000000
206;118;true;#000000
207;114;true;#000000
209;110;true;#000000
209;108;true;#000000
209;105;true;#000000
209;104;true;#000000
209;103;true;#000000
209;104;true;#000000
209;107;true;#000000
216;126;false;#000000
217;126;true;#000000
218;126;true;#000000
