;undefined;undefined;undefined
499;295;false;#000000
499;294;true;#000000
499;293;true;#000000
498;289;true;#000000
308;263;false;#000000
376;294;false;#000000
376;293;true;#000000
373;293;true;#000000
369;291;true;#000000
366;288;true;#000000
362;283;true;#000000
358;276;true;#000000
352;268;true;#000000
345;258;true;#000000
334;247;true;#000000
325;239;true;#000000
310;229;true;#000000
290;216;false;#000000
289;216;true;#000000
288;216;true;#000000
285;216;true;#000000
278;223;true;#000000
267;240;true;#000000
257;257;true;#000000
241;278;true;#000000
230;295;true;#000000
223;305;true;#000000
217;315;true;#000000
213;322;true;#000000
212;322;true;#000000
168;297;false;#000000
169;297;true;#000000
173;297;true;#000000
192;297;true;#000000
203;297;true;#000000
215;297;true;#000000
226;297;true;#000000
238;297;true;#000000
247;297;true;#000000
252;295;true;#000000
255;294;true;#000000
258;293;true;#000000
260;292;true;#000000
264;292;true;#000000
268;290;true;#000000
270;289;true;#000000
272;289;true;#000000
272;288;true;#000000
370;286;false;#000000
371;286;true;#000000
372;286;true;#000000
374;286;true;#000000
376;286;true;#000000
377;286;true;#000000
378;286;true;#000000
379;287;true;#000000
380;287;true;#000000
380;288;true;#000000
383;288;true;#000000
212;152;false;#000000
211;152;true;#000000
210;152;true;#000000
209;152;true;#000000
208;152;true;#000000
200;159;false;#000000
197;166;true;#000000
192;172;true;#000000
170;193;false;#000000
177;193;true;#000000
193;200;true;#000000
202;202;true;#000000
211;205;true;#000000
215;207;true;#000000
221;209;true;#000000
224;209;true;#000000
226;211;true;#000000
229;212;true;#000000
232;212;true;#000000
269;212;false;#000000
277;212;true;#000000
285;212;true;#000000
291;212;true;#000000
296;212;true;#000000
301;212;true;#000000
310;212;true;#000000
318;216;true;#000000
334;219;true;#000000
338;221;true;#000000
324;210;false;#000000
323;210;true;#000000
318;210;true;#000000
311;214;true;#000000
297;223;true;#000000
284;233;true;#000000
275;239;true;#000000
258;249;true;#000000
257;251;true;#000000
257;252;true;#000000
257;253;true;#000000
257;255;true;#000000
261;256;true;#000000
303;235;false;#000000
303;234;true;#000000
303;233;true;#000000
301;229;true;#000000
296;219;true;#000000
291;213;true;#000000
286;210;true;#000000
282;209;true;#000000
279;208;true;#000000
278;208;true;#000000
276;208;true;#000000
274;209;true;#000000
269;217;true;#000000
269;224;true;#000000
269;231;true;#000000
272;238;true;#000000
290;247;true;#000000
295;249;true;#000000
306;249;true;#000000
309;249;true;#000000
318;244;true;#000000
322;238;true;#000000
323;231;true;#000000
323;224;true;#000000
323;218;true;#000000
320;210;true;#000000
314;204;true;#000000
306;199;true;#000000
295;197;true;#000000
294;197;true;#000000
290;202;true;#000000
282;220;true;#000000
282;230;true;#000000
282;238;true;#000000
283;238;true;#000000
285;238;true;#000000
288;238;true;#000000
290;238;true;#000000
293;237;true;#000000
298;233;true;#000000
298;229;true;#000000
298;223;true;#000000
298;220;true;#000000
295;216;true;#000000
293;215;true;#000000
291;215;true;#000000
291;216;true;#000000
291;221;true;#000000
291;228;true;#000000
291;232;true;#000000
293;232;true;#000000
296;233;true;#000000
301;234;true;#000000
303;234;true;#000000
305;234;true;#000000
306;232;true;#000000
306;228;true;#000000
306;223;true;#000000
295;212;true;#000000
284;207;true;#000000
262;200;true;#000000
257;200;true;#000000
253;200;true;#000000
252;202;true;#000000
251;210;true;#000000
251;220;true;#000000
251;230;true;#000000
251;235;true;#000000
256;237;true;#000000
258;237;true;#000000
260;237;true;#000000
263;237;true;#000000
269;231;true;#000000
269;227;true;#000000
269;221;true;#000000
268;214;true;#000000
262;205;true;#000000
243;192;true;#000000
240;191;true;#000000
238;191;true;#000000
238;192;true;#000000
238;215;true;#000000
251;230;true;#000000
264;232;true;#000000
280;228;true;#000000
289;210;true;#000000
286;181;true;#000000
273;176;true;#000000
267;186;true;#000000
267;216;true;#000000
276;235;true;#000000
280;237;true;#000000
283;237;true;#000000
291;237;true;#000000
305;224;true;#000000
315;209;true;#000000
316;202;true;#000000
316;190;true;#000000
303;185;true;#000000
300;185;true;#000000
295;189;true;#000000
290;203;true;#000000
290;220;true;#000000
290;246;true;#000000
294;252;true;#000000
302;255;true;#000000
314;255;true;#000000
333;247;true;#000000
341;241;true;#000000
344;238;true;#000000
345;235;true;#000000
343;228;true;#000000
337;222;true;#000000
331;219;true;#000000
323;214;true;#000000
314;211;true;#000000
307;211;true;#000000
305;214;true;#000000
303;221;true;#000000
301;230;true;#000000
302;249;true;#000000
305;249;true;#000000
307;249;true;#000000
315;243;true;#000000
314;232;true;#000000
297;219;true;#000000
279;213;true;#000000
;undefined;undefined;undefined
442;173;false;#000000
441;172;true;#000000
441;171;true;#000000
440;165;true;#000000
437;160;true;#000000
435;153;true;#000000
431;144;true;#000000
425;123;true;#000000
422;114;true;#000000
418;104;true;#000000
416;96;true;#000000
413;86;true;#000000
411;79;true;#000000
411;72;true;#000000
411;67;true;#000000
411;60;true;#000000
411;54;true;#000000
411;51;true;#000000
412;49;true;#000000
412;47;true;#000000
413;46;true;#000000
415;44;true;#000000
417;43;true;#000000
418;42;true;#000000
420;41;true;#000000
423;41;true;#000000
426;41;true;#000000
427;41;true;#000000
430;41;true;#000000
431;41;true;#000000
432;41;true;#000000
433;41;true;#000000
439;41;true;#000000
442;42;true;#000000
446;48;true;#000000
451;56;true;#000000
453;62;true;#000000
455;63;true;#000000
456;65;true;#000000
457;68;true;#000000
459;70;true;#000000
462;75;true;#000000
466;81;true;#000000
472;95;true;#000000
474;104;true;#000000
478;113;true;#000000
480;122;true;#000000
483;129;true;#000000
485;135;true;#000000
486;139;true;#000000
488;143;true;#000000
488;147;true;#000000
488;152;true;#000000
489;155;true;#000000
489;159;true;#000000
491;163;true;#000000
491;164;true;#000000
491;165;true;#000000
491;166;true;#000000
446;169;false;#000000
445;169;true;#000000
444;169;true;#000000
443;169;true;#000000
440;169;true;#000000
437;167;true;#000000
433;164;true;#000000
427;162;true;#000000
423;160;true;#000000
420;160;true;#000000
419;160;true;#000000
417;160;true;#000000
416;160;true;#000000
415;160;true;#000000
412;167;true;#000000
412;174;true;#000000
410;178;true;#000000
408;184;true;#000000
408;191;true;#000000
408;194;true;#000000
408;200;true;#000000
413;206;true;#000000
419;212;true;#000000
428;218;true;#000000
449;229;true;#000000
457;233;true;#000000
465;234;true;#000000
466;234;true;#000000
469;232;true;#000000
473;229;true;#000000
474;225;true;#000000
475;222;true;#000000
478;219;true;#000000
489;164;false;#000000
490;164;true;#000000
491;163;true;#000000
492;163;true;#000000
495;161;true;#000000
497;159;true;#000000
500;155;true;#000000
500;152;true;#000000
501;152;true;#000000
503;151;true;#000000
504;151;true;#000000
505;150;true;#000000
507;150;true;#000000
508;150;true;#000000
527;168;true;#000000
532;173;true;#000000
536;179;true;#000000
539;196;true;#000000
539;205;true;#000000
539;210;true;#000000
539;212;true;#000000
537;214;true;#000000
533;215;true;#000000
414;75;false;#000000
421;77;true;#000000
439;82;true;#000000
470;92;true;#000000
506;106;true;#000000
512;107;true;#000000
511;107;true;#000000
482;88;true;#000000
454;68;true;#000000
397;30;true;#000000
384;22;true;#000000
380;17;true;#000000
389;31;true;#000000
406;55;true;#000000
425;80;true;#000000
444;99;true;#000000
457;112;true;#000000
460;114;true;#000000
456;107;true;#000000
438;81;true;#000000
433;72;true;#000000
428;66;true;#000000
427;64;true;#000000
432;71;true;#000000
440;84;true;#000000
453;96;true;#000000
466;106;true;#000000
478;114;true;#000000
486;119;true;#000000
485;119;true;#000000
482;114;true;#000000
470;97;true;#000000
424;49;true;#000000
395;22;true;#000000
379;5;true;#000000
379;4;true;#000000
379;7;true;#000000
391;19;true;#000000
445;86;true;#000000
471;123;true;#000000
491;151;true;#000000
504;169;true;#000000
508;178;true;#000000
503;176;true;#000000
483;156;true;#000000
454;127;true;#000000
418;93;true;#000000
388;64;true;#000000
377;51;true;#000000
374;47;true;#000000
374;58;true;#000000
392;87;true;#000000
445;162;true;#000000
465;193;true;#000000
479;214;true;#000000
472;214;true;#000000
452;196;true;#000000
371;144;true;#000000
344;124;true;#000000
331;115;true;#000000
331;116;true;#000000
349;128;true;#000000
381;156;true;#000000
453;211;true;#000000
477;228;true;#000000
487;237;true;#000000
487;238;true;#000000
477;238;true;#000000
428;205;true;#000000
380;174;true;#000000
374;169;true;#000000
376;168;true;#000000
409;202;true;#000000
433;221;true;#000000
454;237;true;#000000
468;247;true;#000000
471;253;true;#000000
470;253;true;#000000
465;253;true;#000000
422;227;true;#000000
370;191;true;#000000
368;185;true;#000000
371;185;true;#000000
388;185;true;#000000
413;195;true;#000000
448;207;true;#000000
479;219;true;#000000
498;227;true;#000000
505;231;true;#000000
499;227;true;#000000
482;205;true;#000000
432;145;true;#000000
415;118;true;#000000
412;106;true;#000000
415;101;true;#000000
419;99;true;#000000
432;99;true;#000000
451;109;true;#000000
478;127;true;#000000
494;137;true;#000000
509;147;true;#000000
512;150;true;#000000
510;150;true;#000000
474;130;true;#000000
416;90;true;#000000
408;80;true;#000000
407;78;true;#000000
408;78;true;#000000
444;101;true;#000000
475;126;true;#000000
529;174;true;#000000
540;187;true;#000000
537;187;true;#000000
517;181;true;#000000
425;117;true;#000000
383;75;true;#000000
383;70;true;#000000
390;73;true;#000000
464;129;true;#000000
477;148;true;#000000
477;153;true;#000000
46;297;false;#000000
46;298;true;#000000
45;305;true;#000000
39;325;true;#000000
39;337;true;#000000
46;348;true;#000000
49;351;true;#000000
51;351;true;#000000
54;352;true;#000000
65;355;true;#000000
69;355;true;#000000
74;355;true;#000000
81;355;true;#000000
82;355;true;#000000
175;323;false;#000000
175;324;true;#000000
175;327;true;#000000
175;328;true;#000000
175;332;true;#000000
175;336;true;#000000
177;341;true;#000000
180;345;true;#000000
182;347;true;#000000
186;348;true;#000000
189;348;true;#000000
194;348;true;#000000
197;348;true;#000000
199;348;true;#000000
202;346;true;#000000
205;345;true;#000000
208;343;true;#000000
215;338;true;#000000
217;336;true;#000000
219;333;true;#000000
221;331;true;#000000
