;undefined;undefined;undefined
254;209;false;#000000
252;209;true;#000000
249;209;true;#000000
247;210;true;#000000
246;210;true;#000000
244;210;true;#000000
242;211;true;#000000
237;213;true;#000000
231;214;true;#000000
227;218;true;#000000
220;227;true;#000000
215;244;true;#000000
215;259;true;#000000
224;278;true;#000000
234;294;true;#000000
244;310;true;#000000
245;317;true;#000000
243;321;true;#000000
249;327;true;#000000
253;333;true;#000000
255;338;true;#000000
256;341;true;#000000
260;349;true;#000000
266;355;true;#000000
267;351;true;#000000
268;351;true;#000000
283;354;true;#000000
289;354;true;#000000
292;354;true;#000000
302;353;true;#000000
315;349;true;#000000
329;347;true;#000000
345;345;true;#000000
349;344;true;#000000
351;344;true;#000000
351;343;true;#000000
351;344;true;#000000
395;351;true;#000000
409;352;true;#000000
409;350;true;#000000
402;343;true;#000000
379;331;true;#000000
378;330;true;#000000
379;330;true;#000000
402;336;true;#000000
463;345;true;#000000
477;347;true;#000000
477;342;true;#000000
486;341;true;#000000
486;338;true;#000000
481;330;true;#000000
464;313;true;#000000
460;308;true;#000000
458;306;true;#000000
459;306;true;#000000
470;311;true;#000000
496;322;true;#000000
521;329;true;#000000
540;334;true;#000000
554;335;true;#000000
562;334;true;#000000
564;321;true;#000000
564;314;true;#000000
553;281;true;#000000
536;258;true;#000000
520;236;true;#000000
508;219;true;#000000
492;200;true;#000000
482;188;true;#000000
483;188;true;#000000
486;184;true;#000000
484;183;true;#000000
479;181;true;#000000
454;168;true;#000000
434;159;true;#000000
412;150;true;#000000
402;144;true;#000000
405;144;true;#000000
409;146;true;#000000
417;144;true;#000000
427;143;true;#000000
427;142;true;#000000
417;133;true;#000000
370;109;true;#000000
302;80;true;#000000
238;54;true;#000000
235;54;true;#000000
236;54;true;#000000
239;55;true;#000000
249;57;true;#000000
252;58;true;#000000
238;53;true;#000000
209;42;true;#000000
196;34;true;#000000
196;33;true;#000000
196;32;true;#000000
196;31;true;#000000
194;28;true;#000000
181;19;true;#000000
178;15;true;#000000
170;9;true;#000000
164;8;true;#000000
162;8;true;#000000
160;13;true;#000000
160;20;true;#000000
166;29;true;#000000
169;34;true;#000000
170;36;true;#000000
167;35;true;#000000
163;34;true;#000000
158;34;true;#000000
157;34;true;#000000
160;39;true;#000000
190;72;true;#000000
206;88;true;#000000
221;102;true;#000000
222;104;true;#000000
218;105;true;#000000
174;94;true;#000000
117;82;true;#000000
70;75;true;#000000
59;75;true;#000000
59;82;true;#000000
65;88;true;#000000
79;105;true;#000000
114;132;true;#000000
116;136;true;#000000
113;138;true;#000000
93;139;true;#000000
71;141;true;#000000
66;143;true;#000000
67;153;true;#000000
77;169;true;#000000
90;182;true;#000000
98;192;true;#000000
98;196;true;#000000
94;201;true;#000000
84;209;true;#000000
75;216;true;#000000
73;224;true;#000000
74;229;true;#000000
83;225;true;#000000
90;227;true;#000000
86;227;true;#000000
75;227;true;#000000
39;227;true;#000000
14;227;true;#000000
21;237;true;#000000
24;242;true;#000000
77;261;true;#000000
112;274;true;#000000
113;277;true;#000000
116;281;true;#000000
114;284;true;#000000
104;286;true;#000000
95;288;true;#000000
95;289;true;#000000
98;295;true;#000000
99;295;true;#000000
99;296;true;#000000
99;295;true;#000000
99;295;true;#000000
99;296;true;#000000
109;298;true;#000000
152;318;true;#000000
249;333;true;#000000
278;338;true;#000000
322;347;true;#000000
321;348;true;#000000
300;352;true;#000000
268;353;true;#000000
271;359;true;#000000
370;402;true;#000000
680;465;true;#000000
661;284;false;#000000
661;282;true;#000000
661;280;true;#000000
659;275;true;#000000
659;273;true;#000000
616;257;true;#000000
578;249;true;#000000
558;245;true;#000000
554;245;true;#000000
559;250;true;#000000
578;264;true;#000000
585;264;true;#000000
619;265;true;#000000
644;266;true;#000000
643;264;true;#000000
625;248;true;#000000
581;228;true;#000000
460;174;true;#000000
395;151;true;#000000
364;140;true;#000000
