;undefined;undefined;undefined
136;92;false;#000000
137;91;true;#000000
144;89;true;#000000
148;87;true;#000000
152;86;true;#000000
159;84;true;#000000
165;84;true;#000000
169;84;true;#000000
174;84;true;#000000
186;84;true;#000000
191;84;true;#000000
193;84;true;#000000
197;84;true;#000000
196;84;true;#000000
196;85;true;#000000
195;90;true;#000000
195;93;true;#000000
195;97;true;#000000
195;100;true;#000000
195;106;true;#000000
195;108;true;#000000
195;111;true;#000000
194;114;true;#000000
192;116;true;#000000
189;118;true;#000000
185;121;true;#000000
184;121;true;#000000
181;122;true;#000000
177;123;true;#000000
174;124;true;#000000
310;133;false;#000000
254;118;true;#000000
242;118;true;#000000
226;118;true;#000000
223;118;true;#000000
213;116;true;#000000
209;115;true;#000000
205;114;true;#000000
202;112;true;#000000
199;111;true;#000000
193;109;true;#000000
191;108;true;#000000
191;109;true;#000000
192;109;true;#000000
193;109;true;#000000
194;109;true;#000000
195;109;true;#000000
196;110;true;#000000
197;110;true;#000000
197;111;true;#000000
195;111;true;#000000
191;109;true;#000000
188;107;true;#000000
187;106;true;#000000
186;106;true;#000000
287;220;false;#000000
282;226;true;#000000
279;234;true;#000000
276;241;true;#000000
272;268;true;#000000
272;278;true;#000000
272;285;true;#000000
273;291;true;#000000
275;295;true;#000000
279;297;true;#000000
283;299;true;#000000
290;301;true;#000000
295;301;true;#000000
301;301;true;#000000
300;301;true;#000000
300;300;true;#000000
303;303;true;#000000
314;305;true;#000000
321;306;true;#000000
344;306;true;#000000
363;306;true;#000000
371;306;true;#000000
374;306;true;#000000
375;306;true;#000000
377;304;true;#000000
379;299;true;#000000
383;294;true;#000000
388;287;true;#000000
391;281;true;#000000
393;279;true;#000000
397;277;true;#000000
404;275;true;#000000
406;275;true;#000000
416;275;true;#000000
432;276;true;#000000
441;279;true;#000000
448;282;true;#000000
457;286;true;#000000
462;288;true;#000000
465;290;true;#000000
469;291;true;#000000
472;292;true;#000000
474;292;true;#000000
476;292;true;#000000
479;292;true;#000000
481;292;true;#000000
485;292;true;#000000
486;292;true;#000000
489;295;true;#000000
501;302;true;#000000
509;306;true;#000000
514;308;true;#000000
520;309;true;#000000
525;310;true;#000000
526;310;true;#000000
527;310;true;#000000
531;307;true;#000000
534;303;true;#000000
542;292;true;#000000
548;285;true;#000000
556;279;true;#000000
563;275;true;#000000
566;273;true;#000000
568;273;true;#000000
571;273;true;#000000
575;273;true;#000000
576;273;true;#000000
576;272;true;#000000
577;272;true;#000000
577;270;true;#000000
578;269;true;#000000
579;267;true;#000000
579;265;true;#000000
579;263;true;#000000
579;259;true;#000000
579;257;true;#000000
579;256;true;#000000
499;240;false;#000000
494;235;true;#000000
490;230;true;#000000
470;219;true;#000000
478;223;false;#000000
458;217;true;#000000
453;216;true;#000000
444;215;true;#000000
435;215;true;#000000
431;215;true;#000000
426;213;true;#000000
417;211;true;#000000
411;209;true;#000000
404;207;true;#000000
402;206;true;#000000
401;206;true;#000000
400;206;false;#000000
401;206;true;#000000
;undefined;undefined;undefined
101;245;false;#000000
263;135;false;#000000
411;136;false;#000000
272;205;false;#000000
214;233;false;#000000
162;265;false;#000000
;undefined;undefined;undefined
556;279;false;#000000
532;291;false;#000000
;undefined;undefined;undefined
415;191;false;#000000
221;182;false;#000000
120;204;false;#000000
277;196;false;#000000
127;178;false;#000000
127;178;false;#000000
127;178;false;#000000
127;247;false;#000000
48;244;false;#000000
;undefined;undefined;undefined
332;239;false;#000000
345;274;false;#000000
310;304;false;#000000
;undefined;undefined;undefined
215;215;false;#000000
215;216;true;#000000
215;217;true;#000000
216;219;true;#000000
220;222;true;#000000
223;224;false;#000000
226;227;true;#000000
229;230;true;#000000
235;236;true;#000000
237;238;true;#000000
240;241;true;#000000
243;243;true;#000000
243;244;true;#000000
245;244;false;#000000
248;246;true;#000000
260;253;true;#000000
277;268;true;#000000
311;292;false;#000000
326;302;true;#000000
333;304;true;#000000
342;307;true;#000000
356;307;false;#000000
351;310;true;#000000
344;313;true;#000000
335;317;true;#000000
319;322;true;#000000
302;325;true;#000000
288;326;true;#000000
284;327;true;#000000
274;330;true;#000000
271;331;true;#000000
267;333;true;#000000
265;335;true;#000000
265;338;true;#000000
265;341;true;#000000
267;344;true;#000000
271;345;true;#000000
273;345;true;#000000
277;345;true;#000000
