;undefined;undefined;undefined
636;235;false;#000000
635;235;true;#000000
634;236;true;#000000
633;236;true;#000000
632;236;true;#000000
630;236;true;#000000
623;236;true;#000000
612;236;true;#000000
597;235;true;#000000
581;235;true;#000000
566;235;true;#000000
549;233;true;#000000
535;232;true;#000000
522;231;true;#000000
505;230;true;#000000
490;230;true;#000000
473;231;true;#000000
456;231;true;#000000
438;232;true;#000000
418;234;true;#000000
404;235;true;#000000
394;237;true;#000000
386;238;true;#000000
380;239;true;#000000
378;240;true;#000000
325;290;false;#000000
326;290;true;#000000
327;290;true;#000000
329;290;true;#000000
330;290;true;#000000
332;290;true;#000000
335;291;true;#000000
338;292;true;#000000
340;292;true;#000000
342;292;true;#000000
343;293;true;#000000
344;293;true;#000000
345;293;true;#000000
347;293;true;#000000
351;293;true;#000000
354;294;true;#000000
357;294;true;#000000
360;296;true;#000000
363;298;true;#000000
369;300;true;#000000
374;303;true;#000000
376;305;true;#000000
377;305;true;#000000
379;306;true;#000000
381;308;true;#000000
382;308;true;#000000
386;312;true;#000000
392;317;true;#000000
395;320;true;#000000
394;320;true;#000000
393;320;true;#000000
392;321;true;#000000
392;322;true;#000000
392;325;true;#000000
394;328;true;#000000
392;328;true;#000000
388;326;true;#000000
389;323;true;#000000
388;322;true;#000000
389;323;true;#000000
392;322;true;#000000
390;322;true;#000000
389;322;true;#000000
388;323;true;#000000
386;324;true;#000000
385;324;true;#000000
384;324;true;#000000
384;325;true;#000000
382;325;true;#000000
381;326;true;#000000
380;326;true;#000000
379;327;true;#000000
378;327;true;#000000
377;327;true;#000000
376;328;true;#000000
374;329;true;#000000
373;329;true;#000000
372;329;true;#000000
371;329;true;#000000
370;330;true;#000000
369;330;true;#000000
368;330;true;#000000
367;330;true;#000000
366;330;true;#000000
365;330;true;#000000
363;328;true;#000000
359;325;true;#000000
358;324;true;#000000
356;323;true;#000000
355;322;true;#000000
354;322;true;#000000
353;321;true;#000000
352;320;true;#000000
352;318;true;#000000
352;317;true;#000000
351;316;true;#000000
350;313;true;#000000
350;311;true;#000000
350;310;true;#000000
350;308;true;#000000
350;306;true;#000000
350;304;true;#000000
349;303;true;#000000
349;301;true;#000000
349;300;true;#000000
349;299;true;#000000
349;297;true;#000000
349;294;true;#000000
349;293;true;#000000
349;291;true;#000000
345;294;true;#000000
347;294;true;#000000
348;293;true;#000000
349;293;true;#000000
349;292;true;#000000
350;292;true;#000000
351;291;true;#000000
352;291;true;#000000
354;291;true;#000000
355;290;true;#000000
356;289;true;#000000
357;289;true;#000000
356;289;true;#000000
354;289;true;#000000
351;291;true;#000000
350;292;true;#000000
351;291;true;#000000
354;291;true;#000000
354;293;true;#000000
353;296;true;#000000
352;299;true;#000000
352;301;true;#000000
352;302;true;#000000
352;303;true;#000000
353;303;true;#000000
354;303;true;#000000
352;306;true;#000000
350;308;true;#000000
351;308;true;#000000
354;307;true;#000000
356;307;true;#000000
357;306;true;#000000
359;305;true;#000000
360;305;true;#000000
360;303;true;#000000
361;299;true;#000000
361;295;true;#000000
361;291;true;#000000
361;288;true;#000000
361;284;true;#000000
361;279;true;#000000
361;276;true;#000000
360;274;true;#000000
358;272;true;#000000
357;268;true;#000000
355;265;true;#000000
353;262;true;#000000
353;261;true;#000000
353;260;true;#000000
355;258;true;#000000
355;254;true;#000000
353;249;true;#000000
351;247;true;#000000
348;246;true;#000000
347;245;true;#000000
346;245;true;#000000
345;245;true;#000000
344;245;true;#000000
343;246;true;#000000
341;249;true;#000000
338;254;true;#000000
337;257;true;#000000
336;261;true;#000000
334;265;true;#000000
333;271;true;#000000
332;277;true;#000000
332;281;true;#000000
332;284;true;#000000
332;286;true;#000000
332;288;true;#000000
332;289;true;#000000
334;288;true;#000000
334;286;true;#000000
336;283;true;#000000
337;280;true;#000000
337;276;true;#000000
337;273;true;#000000
337;269;true;#000000
335;261;true;#000000
333;256;true;#000000
331;251;true;#000000
329;245;true;#000000
327;240;true;#000000
