;undefined;undefined;undefined
444;347;false;#000000
444;350;true;#000000
444;352;true;#000000
444;355;true;#000000
445;359;true;#000000
448;365;true;#000000
451;368;true;#000000
454;369;true;#000000
455;370;true;#000000
458;370;true;#000000
459;370;true;#000000
462;371;true;#000000
464;372;true;#000000
467;373;true;#000000
468;373;true;#000000
467;373;true;#000000
464;373;true;#000000
459;373;true;#000000
453;373;true;#000000
447;373;true;#000000
442;375;true;#000000
436;377;true;#000000
429;380;true;#000000
422;382;true;#000000
416;383;true;#000000
414;385;true;#000000
411;386;true;#000000
411;387;true;#000000
411;388;true;#000000
415;389;true;#000000
418;390;true;#000000
421;390;true;#000000
422;391;true;#000000
423;391;true;#000000
422;391;true;#000000
421;391;true;#000000
418;391;true;#000000
416;391;true;#000000
415;391;true;#000000
414;391;true;#000000
414;392;true;#000000
413;392;true;#000000
408;390;true;#000000
403;385;true;#000000
398;382;true;#000000
390;379;true;#000000
386;377;true;#000000
381;376;true;#000000
378;376;true;#000000
375;376;true;#000000
374;377;true;#000000
374;378;true;#000000
374;380;true;#000000
374;381;true;#000000
375;383;true;#000000
377;384;true;#000000
377;385;true;#000000
379;385;true;#000000
377;385;true;#000000
373;383;true;#000000
370;382;true;#000000
367;381;true;#000000
366;381;true;#000000
365;380;true;#000000
365;381;true;#000000
365;382;true;#000000
365;383;true;#000000
365;384;true;#000000
364;384;true;#000000
362;384;true;#000000
359;384;true;#000000
356;384;true;#000000
354;384;true;#000000
351;384;true;#000000
349;384;true;#000000
349;385;true;#000000
347;386;true;#000000
347;387;true;#000000
346;388;true;#000000
346;389;true;#000000
346;390;true;#000000
346;391;true;#000000
345;392;true;#000000
344;392;true;#000000
343;392;true;#000000
340;392;true;#000000
335;392;true;#000000
329;392;true;#000000
323;392;true;#000000
317;392;true;#000000
312;392;true;#000000
309;392;true;#000000
306;392;true;#000000
305;392;true;#000000
305;393;true;#000000
305;394;true;#000000
305;395;true;#000000
304;395;true;#000000
303;395;true;#000000
302;395;true;#000000
300;395;true;#000000
296;394;true;#000000
294;393;true;#000000
293;393;true;#000000
293;394;true;#000000
292;393;true;#000000
289;392;true;#000000
286;390;true;#000000
284;389;true;#000000
282;388;true;#000000
281;387;true;#000000
280;387;true;#000000
280;388;true;#000000
280;389;true;#000000
280;390;true;#000000
277;390;true;#000000
275;390;true;#000000
271;388;true;#000000
268;387;true;#000000
266;386;true;#000000
265;386;true;#000000
264;386;true;#000000
264;387;true;#000000
264;388;true;#000000
264;389;true;#000000
263;389;true;#000000
260;389;true;#000000
254;388;true;#000000
248;386;true;#000000
242;384;true;#000000
237;383;true;#000000
233;382;true;#000000
230;382;true;#000000
229;382;true;#000000
229;383;true;#000000
229;384;true;#000000
229;387;true;#000000
231;389;true;#000000
233;392;true;#000000
235;394;true;#000000
238;395;true;#000000
239;395;true;#000000
240;395;true;#000000
236;393;true;#000000
233;390;true;#000000
229;388;true;#000000
225;385;true;#000000
223;384;true;#000000
220;382;true;#000000
220;381;true;#000000
218;381;true;#000000
219;381;true;#000000
219;384;true;#000000
228;394;true;#000000
230;395;true;#000000
232;396;true;#000000
234;397;true;#000000
233;397;true;#000000
232;397;true;#000000
226;393;true;#000000
222;390;true;#000000
217;388;true;#000000
214;385;true;#000000
209;383;true;#000000
208;382;true;#000000
207;382;true;#000000
206;382;true;#000000
206;383;true;#000000
209;386;true;#000000
208;386;true;#000000
206;385;true;#000000
203;384;true;#000000
202;384;true;#000000
202;386;true;#000000
211;391;true;#000000
215;394;true;#000000
217;395;true;#000000
214;393;true;#000000
210;390;true;#000000
204;387;true;#000000
201;385;true;#000000
199;383;true;#000000
196;382;true;#000000
196;381;true;#000000
196;382;true;#000000
196;383;true;#000000
199;384;true;#000000
201;386;true;#000000
204;387;true;#000000
202;387;true;#000000
201;387;true;#000000
198;386;true;#000000
196;385;true;#000000
195;384;true;#000000
196;385;true;#000000
198;385;true;#000000
204;387;true;#000000
208;390;true;#000000
210;390;true;#000000
213;390;true;#000000
213;391;true;#000000
211;389;true;#000000
208;387;true;#000000
205;386;true;#000000
203;385;true;#000000
201;385;true;#000000
200;384;true;#000000
200;383;true;#000000
200;382;true;#000000
199;382;true;#000000
194;381;true;#000000
192;381;true;#000000
191;380;true;#000000
192;380;true;#000000
194;380;true;#000000
198;381;true;#000000
200;382;true;#000000
204;383;true;#000000
203;383;true;#000000
201;383;true;#000000
197;382;true;#000000
194;381;true;#000000
192;379;true;#000000
191;379;true;#000000
191;378;true;#000000
194;379;true;#000000
200;384;true;#000000
211;386;true;#000000
223;390;true;#000000
235;394;true;#000000
244;397;true;#000000
249;399;true;#000000
250;399;true;#000000
248;399;true;#000000
242;399;true;#000000
234;395;true;#000000
225;391;true;#000000
217;389;true;#000000
211;387;true;#000000
207;386;true;#000000
205;385;true;#000000
206;385;true;#000000
208;385;true;#000000
213;385;true;#000000
219;385;true;#000000
224;388;true;#000000
228;389;true;#000000
230;389;true;#000000
229;389;true;#000000
227;389;true;#000000
222;387;true;#000000
216;385;true;#000000
210;383;true;#000000
209;383;true;#000000
212;384;true;#000000
222;387;true;#000000
228;389;true;#000000
229;390;true;#000000
219;390;true;#000000
206;390;true;#000000
192;388;true;#000000
176;380;true;#000000
173;379;true;#000000
177;379;true;#000000
183;379;true;#000000
192;379;true;#000000
203;379;true;#000000
226;387;true;#000000
235;390;true;#000000
239;392;true;#000000
240;392;true;#000000
235;392;true;#000000
226;392;true;#000000
215;392;true;#000000
200;392;true;#000000
186;392;true;#000000
176;389;true;#000000
171;388;true;#000000
169;387;true;#000000
173;387;true;#000000
182;389;true;#000000
196;395;true;#000000
213;401;true;#000000
234;407;true;#000000
249;411;true;#000000
260;415;true;#000000
265;415;true;#000000
264;415;true;#000000
259;415;true;#000000
247;415;true;#000000
232;415;true;#000000
212;407;true;#000000
194;401;true;#000000
181;397;true;#000000
175;395;true;#000000
173;394;true;#000000
174;394;true;#000000
178;394;true;#000000
187;397;true;#000000
201;401;true;#000000
214;405;true;#000000
228;411;true;#000000
240;415;true;#000000
246;416;true;#000000
240;414;true;#000000
226;410;true;#000000
211;406;true;#000000
199;401;true;#000000
188;397;true;#000000
185;396;true;#000000
184;396;true;#000000
189;396;true;#000000
197;396;true;#000000
207;396;true;#000000
217;396;true;#000000
234;396;true;#000000
236;396;true;#000000
235;396;true;#000000
234;396;true;#000000
226;396;true;#000000
216;392;true;#000000
205;389;true;#000000
199;387;true;#000000
199;386;true;#000000
204;386;true;#000000
215;386;true;#000000
229;386;true;#000000
242;386;true;#000000
254;387;true;#000000
259;388;true;#000000
261;388;true;#000000
260;388;true;#000000
255;388;true;#000000
245;388;true;#000000
